Phylum_name,Subphylum_name,Class_name,Order_name,Family_name,file,Species
Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Capep1,Capronia epimyces CBS 606.96
Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Capse1,Capronia semiimmersa CBS27337
Blastocladiomycota,Incertae_sedis,Blastocladiomycetes,Blastocladiales,Catenariaceae,Catan2,Catenaria anguillulae PL171 v2.0
Chytridiomycota,Incertae_sedis,Chytridiomycetes,Spizellomycetales,Caulochytriaceae,Caupr_SCcomb,Caulochytrium protostelioides ATCC 52028 single-cell v1.0
Chytridiomycota,Incertae_sedis,Chytridiomycetes,Spizellomycetales,Caulochytriaceae,Caupr1,Caulochytrium protostelioides ATCC 52028 v1.0
Ascomycota,Pezizomycotina,Dothideomycetes,Incertae_sedis,Gloniaceae,Cenge3,Cenococcum geophilum 1.58 v2.0
Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,Cephaloascaceae,Cepal1_1,Cephaloascus albidus ATCC 66658 v1.0
Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,Cephaloascaceae,Cepfr1_1,Cephaloascus fragrans 12-1022 v1.0
Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,Ceraceosorales,Ceraceosoraceae,Cersp1,Ceraceosorus guamensis MCA 4658 v1.0
Basidiomycota,Agaricomycotina,Agaricomycetes,Cantharellales,Ceratobasidiaceae,CerAGI,"Ceratobasidium sp. (anastomosis group I, AG-I) v1.0"
Ascomycota,Pezizomycotina,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cercau1,Cercophora caudata CBS 606.72 v1.0
Ascomycota,Pezizomycotina,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cernew1,Cercophora newfieldiana SMH2532-1 v1.0
Ascomycota,Pezizomycotina,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cersc1,Cercophora scortea SMH4131-1 v1.0
Ascomycota,Pezizomycotina,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cerzm1,Cercospora zeae-maydis v1.0
Basidiomycota,Agaricomycotina,Dacrymycetes,Dacrymycetales,Cerinomycetaceae,Cercer1,Cerinomyces ceraceus ATCC 56525 v1.0
Basidiomycota,Agaricomycotina,Agaricomycetes,Polyporales,Meruliaceae,Cersu1,Ceriporiopsis (Gelatoporia) subvermispora B
Basidiomycota,Agaricomycotina,Agaricomycetes,Polyporales,Incertae_sedis,Cerun2,Cerrena unicolor v1.1
Ascomycota,Pezizomycotina,Sordariomycetes,Sordariales,Chaetomiaceae,Chafi1,Chaetomidium fimeti CBS 168.71 v1.0
Ascomycota,Pezizomycotina,Sordariomycetes,Sordariales,Chaetomiaceae,Chagl_1,Chaetomium globosum v1.0
Ascomycota,Pezizomycotina,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chain1,Chaetosphaeria innumera
Ascomycota,Pezizomycotina,Leotiomycetes,Helotiales,Incertae_sedis,Chalo1,Chalara longipes BDJ v1.0
Basidiomycota,Pucciniomycotina,Agaricostilbomycetes,Agaricostilbales,Chionosphaeraceae,Chiap1,Chionosphaera apobasidialis 52639 v1.0
