Phylum_name,Subphylum_name,Class_name,Order_name,Family_name,file,Species
Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Physalacriaceae,Armlut1,Armillaria luteobubalina HWK02 v1.0
Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Physalacriaceae,Armme1_1,Armillaria mellea DSM 3731
Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Physalacriaceae,Armnab1,Armillaria nabsnona CMW6904 v1.0
Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Physalacriaceae,Armosto1,Armillaria ostoyae C18/9
Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Physalacriaceae,Armost1,Armillaria solidipes 28-4 v1.0
Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,Artfe1_2,Arthroascus fermentans 17710 v1.0
Ascomycota,Pezizomycotina,Orbiliomycetes,Orbiliales,Orbiliaceae,Artol1,Arthrobotrys oligospora ATCC 24927
Ascomycota,Pezizomycotina,Eurotiomycetes,Onygenales,Arthrodermataceae,Artbe1,Arthroderma benhamiae CBS 112371
NA,NA,NA,NA,NA,Artele1122_1,Artolenzites elegans CIRM-BRFM 1122 v1.0
NA,NA,NA,NA,NA,Artel1,Artolenzites elegans CIRM-BRFM 1663 v1.0
Ascomycota,Pezizomycotina,Pezizomycetes,Pezizales,Ascobolaceae,Ascim1,Ascobolus immersus RN42 v1.0
Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Ascra1,Ascochyta rabiei ArDII
Ascomycota,Pezizomycotina,Leotiomycetes,Helotiales,Helotiaceae,Ascsa1,Ascocoryne sarcoides NRRL50072
Ascomycota,Pezizomycotina,Pezizomycetes,Pezizales,Ascodesmidaceae,Ascni1,Ascodesmis nigricans CBS 389.68 v1.0
Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,Ascoideaceae,Ascru1,Ascoidea rubescens NRRL Y17699 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspacri1,Aspergillus acristatulus CBS 119.55 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspacu1,Aspergillus aculeatinus CBS 121060 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspac1,Aspergillus aculeatus ATCC16872 v1.1
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspamy1,Aspergillus amylovorus CBS 600.67 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspbisp1,Aspergillus bisporus CBS 707.71 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspbom1,Aspergillus bombycis NRRL 26010
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspbr1,Aspergillus brasiliensis v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspbrev1,Aspergillus brevijanus CBS 111.46 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspbru1,Aspergillus brunneoviolaceus CBS 621.78 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspcal1,Aspergillus calidoustus
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspcam1,Aspergillus campestris IBT 28561 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspcand1,Aspergillus candidus CBS 102.13 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspca3,Aspergillus carbonarius ITEM 5010 v3
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspchev1,Aspergillus chevalieri CBS 522.65 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspcl1,Aspergillus clavatus NRRL 1 from AspGD
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspcos1,Aspergillus costaricaensis CBS 115574 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspcri1,Aspergillus cristatus GZAAS20.1005
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspdese1,Aspergillus desertorum CBS 653.73 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspell1,Aspergillus ellipticus CBS 707.79 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspeuc1,Aspergillus eucalypticola CBS 122712 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspfij1,Aspergillus fijiensis CBS 313.89 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspfili1,Aspergillus filifera CBS 114510 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspfl1,Aspergillus flavus NRRL3357
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspfu_A1163_1,Aspergillus fumigatus A1163
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspfu1,Aspergillus fumigatus Af293 from AspGD
